Date,Open,High,Low,Close,Adj Close,Volume
12-09-2016,755.130005,773.799988,754,768.880005,768.880005,7147800
19-09-2016,772.419983,789.849976,764.440979,786.900024,786.900024,6217300
26-09-2016,782.73999,785.98999,773.070007,777.289978,777.289978,6696200
03-10-2016,774.25,782.070007,769.5,775.080017,775.080017,5945300
10-10-2016,777.710022,792.280029,773,778.530029,778.530029,5702600
17-10-2016,779.799988,804.599976,777.5,799.369995,799.369995,7940400
24-10-2016,804.900024,816.679993,791.5,795.369995,795.369995,11940700
31-10-2016,795.469971,796.859985,750.560974,762.02002,762.02002,10784100
07-11-2016,774.5,795.632996,750.380005,754.02002,754.02002,12736100
14-11-2016,755.599976,775,727.539978,760.539978,760.539978,10362100
21-11-2016,762.609985,776.960022,755.25,761.679993,761.679993,4989500
28-11-2016,760,779.530029,737.025024,750.5,750.5,10668100
05-12-2016,757.710022,789.429993,752.900024,789.289978,789.289978,8155900
12-12-2016,785.039978,804.380005,784.35498,790.799988,790.799988,10023800
19-12-2016,790.219971,798.650024,786.27002,789.909973,789.909973,4990000
26-12-2016,790.679993,797.859985,770.409973,771.820007,771.820007,4457200
02-01-2017,778.809998,807.900024,775.799988,806.150024,806.150024,5705700
09-01-2017,806.400024,811.223999,799.169983,807.880005,807.880005,5969600
16-01-2017,807.080017,809.47998,800.369995,805.02002,805.02002,5245800
23-01-2017,807.25,841.950012,803.73999,823.309998,823.309998,10871800
30-01-2017,814.659973,815.840027,790.52002,801.48999,801.48999,10432400
06-02-2017,799.700012,815.25,795.25,813.669983,813.669983,5705700
13-02-2017,816,828.070007,815.48999,828.070007,828.070007,6480200
20-02-2017,828.659973,833.450012,822.880005,828.640015,828.640015,5110200
27-02-2017,824.549988,836.255005,820.200012,829.080017,829.080017,6697700
06-03-2017,826.950012,844.909973,822.400024,843.25,843.25,6101900
13-03-2017,844,853.400024,840.77002,852.119995,852.119995,6074900
20-03-2017,850.01001,853.5,808.890015,814.429993,814.429993,10564600
27-03-2017,806.950012,833.679993,803.369995,829.559998,829.559998,7758300
03-04-2017,829.219971,842.450012,820.513,824.669983,824.669983,6583900
10-04-2017,825.390015,829.349976,817.02002,823.559998,823.559998,4081500
17-04-2017,825.01001,845.200012,824.469971,843.190002,843.190002,4968500
24-04-2017,851.200012,916.849976,849.859985,905.960022,905.960022,9584800
01-05-2017,901.940002,935.929993,901.450012,927.130005,927.130005,8536100
08-05-2017,926.119995,937.5,923.030029,932.219971,932.219971,5971100
15-05-2017,932.950012,943.109985,918.140015,934.01001,934.01001,7429600
22-05-2017,935,974.97998,935,971.469971,971.469971,6328500
29-05-2017,970.309998,979.27002,960.01001,975.599976,975.599976,7076300
05-06-2017,976.549988,988.25,935.630005,949.830017,949.830017,9311900
12-06-2017,939.559998,961.150024,915.232971,939.780029,939.780029,12494300
19-06-2017,949.960022,966,949.049988,965.590027,965.590027,6330800
26-06-2017,969.900024,973.309998,908.309998,908.72998,908.72998,12289100
03-07-2017,912.179993,921.539978,894.789978,918.590027,918.590027,6586000
10-07-2017,921.77002,956.909973,919.590027,955.98999,955.98999,6186600
17-07-2017,957,975.900024,949.241028,972.919983,972.919983,6879500
24-07-2017,972.219971,986.200012,920,941.530029,941.530029,15057000
31-07-2017,941.890015,943.590027,916.679993,927.960022,927.960022,7357000
07-08-2017,929.059998,935.814026,905.580017,914.390015,914.390015,6316700
